"id","name"
"1","Jawa Barat"
"10","Sulawesi Tengah"
"11","Sulawesi Selatan"
"12","Sulawesi Tenggara"
"13","Nusa Tenggara Barat (NTB)"
"14","Sulawesi Utara"
"15","Gorontalo"
"16","Papua Barat"
"17","Maluku Utara"
"18","Sulawesi Barat"
"19","DKI Jakarta"
"2","Kalimantan Selatan"
"20","Nanggroe Aceh Darussalam (NAD)"
"21","Sumatera Barat"
"22","Sumatera Utara"
"23","Kepulauan Riau"
"24","Riau"
"25","Lampung"
"26","Bangka Belitung"
"27","Sumatera Selatan"
"28","Jambi"
"29","Bengkulu"
"3","Jawa Tengah"
"30","Kalimantan Timur"
"31","Kalimantan Tengah"
"32","Kalimantan Barat"
"33","Kalimantan Utara"
"34","Banten"
"4","DI Yogyakarta"
"5","Jawa Timur"
"6","Nusa Tenggara Timur (NTT)"
"7","Maluku"
"8","Papua"
"9","Bali"
